UserName,UserDept,UserSDG,UserMethod,UserStage,MatchName,MatchDept,MatchSDG,MatchMethod,MatchStage,Topic_Match,Method_Match,Career_Fit,CCS_Total,Explanation
"Carrasco Kind, Matias",Gies Business,9,Computational,Post-Tenure,"Mendoza, Kim",Accountancy,9,Theoretical,Pre-Tenure,92,87,88,89,Expertise in Dark Energy Survey and Investment Judgments. Complementary (Computational + Theoretical) methods. Mentorship pairing enables ideal collaboration.
"Carrasco Kind, Matias",Gies Business,9,Computational,Post-Tenure,"Rozario, Andrea",Accountancy,16,Theoretical,Pre-Tenure,87,87,91,88,Expertise in Dark Energy Survey and Audit Procedures. Complementary (Computational + Theoretical) methods. Mentorship pairing enables ideal collaboration.
"Carrasco Kind, Matias",Gies Business,9,Computational,Post-Tenure,"Gao, Yang",Business Administration,9,Theoretical,Post-Tenure,93,85,83,88,Expertise in Dark Energy Survey and Social Media. Complementary (Computational + Theoretical) methods. Peer collaboration enables equal partnership. Strong collaboration potential.
"Lough, Benjamin",Business Administration,17,Theoretical,Post-Tenure,"Zhou, Dan",Accountancy,16,Empirical,Pre-Tenure,89,92,92,91,Expertise in Volunteering and Auditors. Highly complementary (Theoretical + Empirical) methods. Mentorship pairing enables ideal collaboration. Strong potential for impactful sustainability research.
"Lough, Benjamin",Business Administration,17,Theoretical,Post-Tenure,"Sanchez, Carmen",Business Administration,4,Computational,Pre-Tenure,89,90,89,89,Expertise in Volunteering and Overconfidence. Highly complementary (Theoretical + Computational) methods. Mentorship pairing enables ideal collaboration.
"Rios, Kimberly",Gies Affiliates,10,Theoretical,Post-Tenure,"Zhou, Dan",Accountancy,16,Empirical,Pre-Tenure,85,95,89,90,Expertise in Prejudice and Auditors. Highly complementary (Theoretical + Empirical) methods. Mentorship pairing enables ideal collaboration. Strong potential for impactful sustainability research.
"Rios, Kimberly",Gies Affiliates,10,Theoretical,Post-Tenure,"Sanchez, Carmen",Business Administration,4,Computational,Pre-Tenure,86,89,87,87,Expertise in Prejudice and Overconfidence. Complementary (Theoretical + Computational) methods. Mentorship pairing enables ideal collaboration. Strong potential for impactful sustainability research.
"Rios, Kimberly",Gies Affiliates,10,Theoretical,Post-Tenure,"Ahsen, Mehmet",Business Administration,3,Computational,Post-Tenure,88,87,78,86,Expertise in Prejudice and Mixing Coefficient. Complementary (Theoretical + Computational) methods. Peer collaboration enables equal partnership. Strong collaboration potential.
"Simons, Daniel",Business Administration,3,Theoretical,Post-Tenure,"Zhou, Dan",Accountancy,16,Empirical,Pre-Tenure,86,93,90,89,Expertise in Change Blindness and Auditors. Highly complementary (Theoretical + Empirical) methods. Mentorship pairing enables ideal collaboration. Strong collaboration potential.
"Simons, Daniel",Business Administration,3,Theoretical,Post-Tenure,"Ahsen, Mehmet",Business Administration,3,Computational,Post-Tenure,92,87,78,88,Expertise in Change Blindness and Mixing Coefficient. Complementary (Theoretical + Computational) methods. Peer collaboration enables equal partnership.
"Ahsen, Mehmet",Business Administration,3,Computational,Post-Tenure,"Rodas, Maria",Business Administration,3,Theoretical,Pre-Tenure,93,88,92,91,Expertise in Mixing Coefficient and Consumer Behavior. Complementary (Computational + Theoretical) methods. Mentorship pairing enables ideal collaboration.
"Ahsen, Mehmet",Business Administration,3,Computational,Post-Tenure,"Ybarra, Oscar",Business Administration,3,Theoretical,Post-Tenure,91,90,84,90,Expertise in Mixing Coefficient and Self-Esteem. Highly complementary (Computational + Theoretical) methods. Peer collaboration enables equal partnership.
"Mahoney, Joseph",Business Administration,8,Theoretical,Post-Tenure,"Zhou, Dan",Accountancy,16,Empirical,Pre-Tenure,89,95,87,91,Expertise in Strategic Management and Auditors. Highly complementary (Theoretical + Empirical) methods. Mentorship pairing enables ideal collaboration.
"Mahoney, Joseph",Business Administration,8,Theoretical,Post-Tenure,"Wang, Laura",Accountancy,8,Experimental,Pre-Tenure,94,89,87,91,Expertise in Strategic Management and Penalty Contract. Complementary (Theoretical + Experimental) methods. Mentorship pairing enables ideal collaboration.
"Shaw, Michael J.",Business Administration,3,Computational,Post-Tenure,"Rodas, Maria",Business Administration,3,Theoretical,Pre-Tenure,92,87,88,89,Expertise in IT Project Portfolio and Consumer Behavior. Complementary (Computational + Theoretical) methods. Mentorship pairing enables ideal collaboration.
"Shaw, Michael J.",Business Administration,3,Computational,Post-Tenure,"Simons, Daniel",Business Administration,3,Theoretical,Post-Tenure,92,87,78,88,Expertise in IT Project Portfolio and Change Blindness. Complementary (Computational + Theoretical) methods. Peer collaboration enables equal partnership.
"Fullerton, Don",Finance,13,Theoretical,Post-Tenure,"Ahsen, Mehmet",Business Administration,3,Computational,Post-Tenure,87,89,82,87,Expertise in Price and Mixing Coefficient. Complementary (Theoretical + Computational) methods. Peer collaboration enables equal partnership. Strong potential for impactful sustainability research.
"Fullerton, Don",Finance,13,Theoretical,Post-Tenure,"Wang, Laura",Accountancy,8,Experimental,Pre-Tenure,85,90,88,87,Expertise in Price and Penalty Contract. Highly complementary (Theoretical + Experimental) methods. Mentorship pairing enables ideal collaboration. Strong collaboration potential.
"Torelli, Carlos",Business Administration,10,Theoretical,Post-Tenure,"Wang, Laura",Accountancy,8,Experimental,Pre-Tenure,85,88,91,87,Expertise in Consumer Behaviour and Penalty Contract. Complementary (Theoretical + Experimental) methods. Mentorship pairing enables ideal collaboration.
"Torelli, Carlos",Business Administration,10,Theoretical,Post-Tenure,"Sanchez, Carmen",Business Administration,4,Computational,Pre-Tenure,83,87,92,86,Expertise in Consumer Behaviour and Overconfidence. Complementary (Theoretical + Computational) methods. Mentorship pairing enables ideal collaboration.
"Ybarra, Oscar",Business Administration,3,Theoretical,Post-Tenure,"Shaw, Michael J.",Business Administration,3,Computational,Post-Tenure,94,87,85,90,Expertise in Self-Esteem and IT Project Portfolio. Complementary (Theoretical + Computational) methods. Peer collaboration enables equal partnership. Strong collaboration potential.
"Ybarra, Oscar",Business Administration,3,Theoretical,Post-Tenure,"Zhou, Dan",Accountancy,16,Empirical,Pre-Tenure,88,92,91,90,Expertise in Self-Esteem and Auditors. Highly complementary (Theoretical + Empirical) methods. Mentorship pairing enables ideal collaboration. Strong potential for impactful sustainability research.
"Ybarra, Oscar",Business Administration,3,Theoretical,Post-Tenure,"Williamson, Michael",Accountancy,9,Experimental,Post-Tenure,87,92,77,88,Expertise in Self-Esteem and System Design. Highly complementary (Theoretical + Experimental) methods. Peer collaboration enables equal partnership. Strong collaboration potential.
"Otnes, Cele",Business Administration,5,Fieldwork,Post-Tenure,"Ahsen, Mehmet",Business Administration,3,Computational,Post-Tenure,86,90,79,87,Expertise in Ritual and Mixing Coefficient. Highly complementary (Fieldwork + Computational) methods. Peer collaboration enables equal partnership. Strong collaboration potential.
"Otnes, Cele",Business Administration,5,Fieldwork,Post-Tenure,"Rios, Kimberly",Gies Affiliates,10,Theoretical,Post-Tenure,87,83,85,85,Expertise in Ritual and Prejudice. Similar (Fieldwork + Theoretical) approaches. Peer collaboration enables equal partnership. Strong potential for impactful sustainability research.
"Otnes, Cele",Business Administration,5,Fieldwork,Post-Tenure,"Torelli, Carlos",Business Administration,10,Theoretical,Post-Tenure,88,81,85,85,Expertise in Ritual and Consumer Behaviour. Similar (Fieldwork + Theoretical) approaches. Peer collaboration enables equal partnership. Strong potential for impactful sustainability research.
"Williamson, Michael",Accountancy,9,Experimental,Post-Tenure,"Mendoza, Kim",Accountancy,9,Theoretical,Pre-Tenure,92,92,90,92,Expertise in System Design and Investment Judgments. Highly complementary (Experimental + Theoretical) methods. Mentorship pairing enables ideal collaboration.
"Williamson, Michael",Accountancy,9,Experimental,Post-Tenure,"Gao, Yang",Business Administration,9,Theoretical,Post-Tenure,94,92,84,92,Expertise in System Design and Social Media. Highly complementary (Experimental + Theoretical) methods. Peer collaboration enables equal partnership. Strong collaboration potential.
"Williamson, Michael",Accountancy,9,Experimental,Post-Tenure,"Carrasco Kind, Matias",Gies Business,9,Computational,Post-Tenure,94,88,77,89,Expertise in System Design and Dark Energy Survey. Complementary (Experimental + Computational) methods. Peer collaboration enables equal partnership.
"Mendoza, Kim",Accountancy,9,Theoretical,Pre-Tenure,"Widdicks, Martin",Finance,9,Computational,Post-Tenure,91,90,87,90,Expertise in Investment Judgments and Option Pricing. Highly complementary (Theoretical + Computational) methods. Mentorship pairing enables ideal collaboration.
"Mendoza, Kim",Accountancy,9,Theoretical,Pre-Tenure,"Shaw, Michael J.",Business Administration,3,Computational,Post-Tenure,89,89,92,89,Expertise in Investment Judgments and IT Project Portfolio. Complementary (Theoretical + Computational) methods. Mentorship pairing enables ideal collaboration.
"Zhou, Dan",Accountancy,16,Empirical,Pre-Tenure,"Rozario, Andrea",Accountancy,16,Theoretical,Pre-Tenure,93,94,81,92,Expertise in Auditors and Audit Procedures. Highly complementary (Empirical + Theoretical) methods. Peer collaboration fosters mutual growth. Strong potential for impactful sustainability research.
"Zhou, Dan",Accountancy,16,Empirical,Pre-Tenure,"Torelli, Carlos",Business Administration,10,Theoretical,Post-Tenure,75,93,89,84,Expertise in Auditors and Consumer Behaviour. Highly complementary (Empirical + Theoretical) methods. Mentorship pairing enables ideal collaboration. Strong collaboration potential.
"Zhou, Dan",Accountancy,16,Empirical,Pre-Tenure,"Fullerton, Don",Finance,13,Theoretical,Post-Tenure,70,95,88,83,Expertise in Auditors and Price. Highly complementary (Empirical + Theoretical) methods. Mentorship pairing enables ideal collaboration. Strong potential for impactful sustainability research.
"Rodas, Maria",Business Administration,3,Theoretical,Pre-Tenure,"Otnes, Cele",Business Administration,5,Fieldwork,Post-Tenure,89,83,90,87,Expertise in Consumer Behavior and Ritual. Similar (Theoretical + Fieldwork) approaches. Mentorship pairing enables ideal collaboration. Strong potential for impactful sustainability research.
"Rodas, Maria",Business Administration,3,Theoretical,Pre-Tenure,"Sanchez, Carmen",Business Administration,4,Computational,Pre-Tenure,88,87,76,86,Expertise in Consumer Behavior and Overconfidence. Complementary (Theoretical + Computational) methods. Peer collaboration fosters mutual growth. Strong collaboration potential.
"Rodas, Maria",Business Administration,3,Theoretical,Pre-Tenure,"Torelli, Carlos",Business Administration,10,Theoretical,Post-Tenure,89,80,89,85,Expertise in Consumer Behavior and Consumer Behaviour. Similar (Theoretical + Theoretical) approaches. Mentorship pairing enables ideal collaboration.
"Rozario, Andrea",Accountancy,16,Theoretical,Pre-Tenure,"Williamson, Michael",Accountancy,9,Experimental,Post-Tenure,87,91,91,89,Expertise in Audit Procedures and System Design. Highly complementary (Theoretical + Experimental) methods. Mentorship pairing enables ideal collaboration.
"Rozario, Andrea",Accountancy,16,Theoretical,Pre-Tenure,"Widdicks, Martin",Finance,9,Computational,Post-Tenure,89,90,88,89,Expertise in Audit Procedures and Option Pricing. Highly complementary (Theoretical + Computational) methods. Mentorship pairing enables ideal collaboration.
"Wang, Laura",Accountancy,8,Experimental,Pre-Tenure,"Lough, Benjamin",Business Administration,17,Theoretical,Post-Tenure,87,92,91,90,Expertise in Penalty Contract and Volunteering. Highly complementary (Experimental + Theoretical) methods. Mentorship pairing enables ideal collaboration.
